,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000152583,997.444732611474,4.55984812888768,0.185882962961611,4.11066699528406e-136,7.41235472589622e-132
ENSG00000165995,495.095686525811,3.28011870062061,0.133205641093325,4.46338432285823e-135,4.02418730548898e-131
ENSG00000120129,3409.03835490143,2.93659108578568,0.122502377795044,3.03383945667791e-129,1.8235397694272e-125
ENSG00000101347,12703.4128252398,3.75434217873729,0.157610116734443,7.68265697143026e-129,3.46334176272076e-125
ENSG00000189221,2341.78067569054,3.34129982856853,0.143233990213399,5.21270561140548e-123,1.87991015169727e-119
ENSG00000211445,12285.7000547124,3.7161110586918,0.168482711601878,2.58505906221484e-111,7.76896416830967e-108
ENSG00000157214,3009.27287526155,1.96925553336688,0.0906310648613435,6.09134840298178e-106,1.56913134860811e-102
ENSG00000162614,5393.11454093552,2.02783015169201,0.0949583391937721,1.56546228389428e-102,3.52855198789771e-99
ENSG00000125148,3656.26740037453,2.19875185837651,0.106506271903058,1.84964416889971e-96,3.70586485039995e-93
ENSG00000154734,30315.113170016,2.33454224260622,0.117002359960968,2.26675650442129e-90,4.08741532877247e-87
ENSG00000139132,1223.46315207371,2.21692261012335,0.113488041298946,1.72987629956755e-86,2.83573903943656e-83
ENSG00000162493,1099.63807723644,1.87508625830144,0.0961079014624051,2.08475763867766e-86,3.13269581171963e-83
ENSG00000134243,5510.95647651194,2.18255953093704,0.113053253118403,7.48117677910844e-85,1.03769676677603e-81
ENSG00000179094,776.600164098613,3.17661428279986,0.165503849830026,2.57518271233415e-84,3.31683533348639e-81
ENSG00000162692,508.164810682556,-3.67283076179412,0.19190051216273,4.47628015467288e-84,5.38108558327076e-81
ENSG00000163884,561.111048261822,4.43257650119608,0.237444574664146,1.99061929588957e-80,2.24342794646754e-77
ENSG00000178695,2649.82251474546,-2.51328753405729,0.135865307065716,1.94338882069401e-78,2.06136395380908e-75
ENSG00000198624,2057.20440873193,2.90118982481987,0.163537769423653,7.69555571016618e-73,7.70923669809536e-70
ENSG00000148848,1365.16397466345,-1.80357201864548,0.101098821089346,1.63685977780703e-72,1.55346607965349e-69
ENSG00000107562,25136.0890181904,-1.90081145333381,0.106784976168138,2.54996719655702e-72,2.29905042441581e-69
ENSG00000146250,313.686159348886,-2.73911898304914,0.154931134316941,3.52605331403757e-71,3.0277044456536e-68
ENSG00000106976,884.737400832367,-1.74612962393802,0.100110393359572,2.99651894657595e-69,2.45605589293898e-66
ENSG00000154930,670.046865009161,1.88691041223287,0.109042313939904,2.60506149605371e-68,2.0423682129061e-65
ENSG00000163394,1216.57690967205,-2.17414524604649,0.126330035209248,8.10766356274223e-68,6.09155789014033e-65
ENSG00000253368,1040.17481746375,1.97596712480266,0.115156135554151,2.13866187151147e-67,1.54257403468379e-64
ENSG00000163661,8565.67576080715,2.24604994906055,0.132286581076509,2.00711297201827e-66,1.39201004274744e-63
ENSG00000162616,1467.63832301977,1.50934323246044,0.0885021377197934,2.19473731727657e-66,1.46575938167152e-63
ENSG00000124766,1281.45678699994,-2.39437194283872,0.142277394052258,1.48172957416251e-65,9.54233845760659e-63
ENSG00000148175,11193.7231981539,1.43902681616636,0.0851937421951538,3.16391378106359e-65,1.92452572405019e-62
ENSG00000197381,1969.04008868001,2.30569242130585,0.13714299316032,3.2018506944047e-65,1.92452572405019e-62
ENSG00000172403,8014.79636483276,1.73286068146514,0.104363056674867,2.55244786690006e-63,1.48470128825619e-60
ENSG00000116285,3232.63588079279,2.40977545817128,0.146088085182059,5.31820928289139e-63,2.9968109309093e-60
ENSG00000163083,418.919472436378,3.42491019671153,0.210602383244624,1.86722808750255e-61,1.02029869314685e-58
ENSG00000166741,7432.96098233325,2.17129163454016,0.136188848119773,4.5583061688779e-59,2.41751108344724e-56
ENSG00000070404,2128.12177561681,1.80194396629629,0.114343662299716,2.33864686965982e-57,1.20487086724874e-54
ENSG00000105989,333.209551189312,-3.01747530214664,0.191800316269545,4.01042435939665e-57,2.00877700135112e-54
ENSG00000122035,943.340735322473,2.27182187925161,0.146044971236638,4.11818063535869e-56,2.00700089775102e-53
ENSG00000119139,5029.85477688044,1.91308809363204,0.123591228792124,1.27348977589179e-55,6.04304411549495e-53
ENSG00000136478,3701.51777497719,1.45471997557272,0.0939551901407878,2.78755840044206e-55,1.28885264299413e-52
ENSG00000196569,17178.4005648725,2.01456187911163,0.134472003038558,1.90040309394326e-52,8.56701714749623e-50
ENSG00000108821,100989.91598642,-1.29451116560796,0.0863982806923594,6.20787394544717e-52,2.73025324351959e-49
ENSG00000221866,847.490034652657,2.72819360365974,0.184266059599659,1.03434506854707e-51,4.44078816096209e-49
ENSG00000100242,2236.24203648175,1.84336074333615,0.12416568806959,2.42534949749781e-51,1.00151809256391e-48
ENSG00000172986,756.360325010941,-1.56325513083673,0.104683627929196,2.44381078487201e-51,1.00151809256391e-48
ENSG00000060718,363.7631440814,2.40759068374776,0.16253332453142,4.04105045319863e-51,1.55038769727825e-48
ENSG00000134686,2737.98162586977,1.37593032528707,0.0926296266522758,4.01201000119716e-51,1.55038769727825e-48
ENSG00000145685,2018.15055205869,-1.23145406744139,0.0826442803215505,3.91723985010729e-51,1.55038769727825e-48
ENSG00000099337,530.05884935417,2.69464219049154,0.182937158236034,6.88002065641413e-51,2.58459442659291e-48
ENSG00000157150,167.615767587415,2.9196654119874,0.197253270272816,8.11079011334133e-51,2.98477076170961e-48
ENSG00000126803,449.176836543226,2.42779382997508,0.16532797685545,1.15889215990375e-50,4.17942868547687e-48
ENSG00000102804,5397.33558773763,1.19313182797912,0.0806681209416882,1.60273020978847e-50,5.66675120449131e-48
ENSG00000138316,799.560819258847,-2.48751270127299,0.171337851898165,1.04899629100379e-49,3.63759636911161e-47
ENSG00000133142,3055.98067746606,1.52441542603448,0.104627978123837,1.79503349084623e-49,6.10717809564891e-47
ENSG00000131389,740.403133853245,-2.10544547643079,0.146538875685815,1.94555393547814e-48,6.49670899343366e-46
ENSG00000168309,159.530276360668,4.79015966227871,0.331313268146922,1.99225781165227e-48,6.53170779267524e-46
ENSG00000103196,3082.088884672,2.60650981215037,0.183175620034057,2.44831171724102e-48,7.88356372951609e-46
ENSG00000124440,197.042690626187,2.50689387307711,0.174136928035475,3.88244467949145e-48,1.22821478001035e-45
ENSG00000152268,1597.85828741008,1.89594450573769,0.132414678801505,5.03268757064243e-48,1.56464521161766e-45
ENSG00000163171,1357.57299789907,1.49254381510721,0.104069893644197,7.23231234475663e-48,2.21039078306189e-45
ENSG00000103742,370.827770473622,-2.17748725289862,0.152793819815134,1.84330781725136e-47,5.44893878043878e-45
ENSG00000141401,627.528067458797,2.3056857845321,0.162281694390095,1.82092153437925e-47,5.44893878043878e-45
ENSG00000112837,2754.94303068407,-1.81713579668332,0.128797568491444,1.02802599253785e-46,2.98989753184556e-44
ENSG00000164647,1920.71084944799,1.55305908479334,0.110365334665344,2.82077809741492e-46,8.07369375437872e-44
ENSG00000068383,1247.23914866505,1.3687430166353,0.0976894772653772,9.88360678634274e-46,2.78470621205207e-43
ENSG00000156675,1631.8741313659,1.53390653057106,0.110378081425461,3.89667543039839e-45,1.08099771324529e-42
ENSG00000136999,435.706358063201,-2.52668584008168,0.184733486779681,2.00934939198397e-44,5.48978609640225e-42
ENSG00000196517,229.638049919376,-2.2077139476311,0.161559884400571,9.34615501572478e-44,2.47838040064043e-41
